msync: bootstrapped mach port on wine-3d4b435-msync.
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\MSV1_0.dll" at 0000000311F40000: builtin
Set new unhandled exception filter 0000000140B54850 to replace 00000001418538B8
[2024-10-18 01:36:01.183] Read and enabled 0 persistent code switches
010c:fixme:file:ReplaceFileW Ignoring flags 2
GCGMAH active
0120:fixme:file:NtLockFile I/O completion on lock not implemented yet
0118:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wlanapi.dll" at 00000002DD5D0000: builtin
0118:fixme:wlanapi:WlanEnumInterfaces (0000000000000001, 0000000000000000, 000000000305E9D8) semi-stub
[astrolabe:188:288:1018/013601.297:907225802:ERROR:hoyo_url_fetch_delegate.cc(22)] Json fetch request failed with error code: -1
[astrolabe:188:272:1018/013601.298:907225803:ERROR:hoyo_url_fetch_delegate.cc(22)] Json fetch request failed with error code: -1
[astrolabe:188:288:1018/013601.298:907225803:ERROR:hoyo_report_service_base.cc(508)] APMStart : Http request failed. Response body: 
[astrolabe:188:288:1018/013601.300:907225805:ERROR:hoyo_url_fetch_delegate.cc(22)] Json fetch request failed with error code: -1
[astrolabe:188:288:1018/013601.300:907225805:ERROR:hoyo_report_service_base.cc(508)] APMStart : Http request failed. Response body: 
[astrolabe:188:288:1018/013601.301:907225806:ERROR:hoyo_url_fetch_delegate.cc(22)] Json fetch request failed with error code: -1
[astrolabe:188:288:1018/013601.301:907225806:ERROR:hoyo_report_service_base.cc(508)] APMStart : Http request failed. Response body: 
[astrolabe:188:284:1018/013601.301:907225806:ERROR:hoyo_start_on_service.cc(82)] start on report failed
013c:fixme:kernelbase:AppPolicyGetThreadInitializationType FFFFFFFFFFFFFFFA, 0000000004E6FE10
0140:fixme:kernelbase:AppPolicyGetThreadInitializationType FFFFFFFFFFFFFFFA, 000000000506FE10
00c0:fixme:imm:ImmReleaseContext (000000000003004A, 000000000002004E): stub
2024-10-18 01:36:02.039 wine64-preloader[24467:13120842] +[IMKClient subclass]: chose IMKClient_Legacy
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\d3d11.dll" at 0000000009C20000: builtin
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dxgi.dll" at 0000000009B40000: builtin
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\winsxs\\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.2600.2982_none_deadbeef\\comctl32.dll" at 00000002FB3C0000: builtin
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\compstui.dll" at 0000000313390000: builtin
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\winspool.drv" at 0000000223D50000: builtin
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wbem\\wbemprox.dll" at 00000001ED480000: builtin
00c0:fixme:wbemprox:client_security_SetBlanket 00000001ED4A0EE0, 00000000010F5960, 10, 0, (null), 3, 3, 0000000000000000, 0
00c0:fixme:wbemprox:client_security_Release 00000001ED4A0EE0
00c0:fixme:ntdll:NtQuerySystemInformation info_class SYSTEM_PERFORMANCE_INFORMATION
00c0:fixme:wbemprox:client_security_SetBlanket 00000001ED4A0EE0, 00000000010F5960, 10, 0, (null), 3, 3, 0000000000000000, 0
00c0:fixme:wbemprox:client_security_Release 00000001ED4A0EE0
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\xinput1_3.dll" at 00000002E99A0000: builtin
00c0:fixme:imm:ImeSetActiveContext (000000000002004E, 1): stub
00c0:fixme:win:RegisterTouchWindow hwnd 000000000003004A, flags 0 stub!
0108:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\cryptnet.dll" at 00000001F8340000: builtin
0108:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\mpr.dll" at 0000000250CD0000: builtin
0108:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wininet.dll" at 0000000345640000: builtin
0108:fixme:cryptnet:check_ocsp_response_info check responder id
0108:trace:loaddll:free_modref Unloaded module L"C:\\windows\\system32\\cryptnet.dll" : builtin
0108:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\cryptnet.dll" at 00000001F8340000: builtin
0108:fixme:cryptnet:check_ocsp_response_info check responder id
0108:trace:loaddll:free_modref Unloaded module L"C:\\windows\\system32\\cryptnet.dll" : builtin
0108:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\cryptnet.dll" at 00000001F8340000: builtin
0108:trace:loaddll:free_modref Unloaded module L"C:\\windows\\system32\\cryptnet.dll" : builtin
